sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sarojininagar2,29,44,40,,तेजकृष्ण खेड़ा,0113 परगना काकोरी,,2500,2700,3300,3800,20000,22000,25000,24000,23000,,94,88,,94,70,
sarojininagar2,29,44,41,,तेरवा,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,29,44,42,,दराबनगर बरकोता,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,30,45,43,,दादूपुर,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,30,45,44,,दोना,0113 परगना काकोरी,,2500,2700,3300,3800,20000,22000,25000,24000,23000,,94,88,,94,70,
sarojininagar2,30,45,45,,नकटौरा,0113 परगना काकोरी,,2500,2700,3300,3800,20000,22000,25000,24000,23000,,94,88,,94,70,
sarojininagar2,30,45,46,,नटकुर,0101 बिजनौर,,7000,7700,8400,9200,20000,22000,25000,24000,23000,,154,138,,154,110,
sarojininagar2,30,45,47,,नटकुर (एल्डिको शौर्य),0101 बिजनौर,,20000,22000,24000,26000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar2,30,45,48,,नरायनपुर,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,30,45,49,,नानमऊ,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,30,45,50,,नारायनपुरी,0301 सरोजनी नगर वार्ड,,8500,9000,9500,10000,24000,26000,29000,28000,27000,,,,,,,
sarojininagar2,30,45,51,,पलेहन्दा,0101 बिजनौर,,4000,4500,5000,5500,20000,22000,25000,24000,23000,,98,88,,98,70,
