sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar1,26,44,1,195,अमीर नगर,ward 022 मोती लाल नेहरू,नगरीय क्षेत्र,10500,11000,11500,13000,29000,31500,38500,30000,24500,,,,,,,
sadar1,26,44,2,177,अशोक नगर,ward 020 गौतम बुद्धनगर,नगरीय क्षेत्र,13000,14000,14500,16000,29500,32000,46000,35500,28500,,,,,,,
sadar1,26,44,3,190,अडगढ़ा हुसैनगंज,ward 021 हुसैनगंज,नगरीय क्षेत्र,11500,12000,12500,13500,29000,31500,46000,35500,28500,,,,,,,
sadar1,26,44,4,168,अर्जुननगर,ward 019 सरदार पटेलनगर,नगरीय क्षेत्र,13000,14000,14500,16000,29500,32000,49500,38500,31000,,,,,,,
sadar1,26,44,5,189,अहाता ख्वाजा गौहर,ward 021 हुसैनगंज,नगरीय क्षेत्र,11500,12000,12500,13500,29000,31500,46000,35500,28500,,,,,,,
sadar1,26,45,6,159,अहाता सुराव खॉ,ward 018 बाबू बनारसी दास,नगरीय क्षेत्र,13000,14000,14500,16000,29500,32000,41000,33000,25500,,,,,,,
sadar1,26,45,7,162,अहाता गनी खॉ,ward 018 बाबू बनारसी दास,नगरीय क्षेत्र,9500,9500,10500,11500,29000,31500,41000,33000,25500,,,,,,,
sadar1,26,45,8,127,आलमबाग,ward 013 राम जी लाल नगर,नगरीय क्षेत्र,20000,20500,21500,22500,31000,33500,68000,53000,42000,,,,,,,
sadar1,27,45,9,48,आलमबाग थाना,ward 004 गुरूगोबिन्द सिंह नगर,नगरीय क्षेत्र,12500,13000,14500,15500,29500,32000,52000,41000,29000,,,,,,,
sadar1,27,45,10,167,आदर्शनगर,ward 019 सरदार पटेलनगर,नगरीय क्षेत्र,13000,14000,14500,16000,29500,32000,50000,39000,31000,,,,,,,
sadar1,27,45,11,198,आर्या नगर,ward 022 मोती लाल नेहरू,नगरीय क्षेत्र,16000,17000,17500,19000,30000,32500,50000,39000,31000,,,,,,,
sadar1,27,45,12,135,आजाद नगर,ward 014 गीतापल्ली,नगरीय क्षेत्र,11000,11500,12000,13000,29000,31500,47000,36500,30000,,,,,,,
sadar1,27,45,13,142,आबादी कब्रिस्तान माल एवेन्यू,ward 016 महात्मा गांधी,नगरीय क्षेत्र,19000,20500,21500,23500,31000,33500,64500,50000,40000,,,,,,,
sadar1,27,45,14,139,ओमनगर,ward 015 ओमनगर,नगरीय क्षेत्र,11000,11500,12000,13000,29000,31500,47000,36000,29500,,,,,,,
sadar1,27,46,15,43,आनन्द नगर,ward 004 गुरूगोबिन्द सिंह नगर,नगरीय क्षेत्र,12000,13000,13500,14500,29000,31500,41000,34000,26000,,,,,,,
sadar1,27,46,16,160,उदयगंज,ward 018 बाबू बनारसी दास,नगरीय क्षेत्र,18000,19000,19500,21500,31000,33500,42000,34500,26500,,,,,,,
sadar1,27,46,17,161,उदयगंज रोड,ward 018 बाबू बनारसी दास,नगरीय क्षेत्र,18000,19000,19500,21500,31000,33500,42000,34500,26500,,,,,,,
sadar1,27,46,18,208,ए.पी. सेन रोड,ward 023 चन्द्र भान गुप्त नगर,नगरीय क्षेत्र,30500,32000,33500,37500,31000,33500,69500,53500,43500,,,,,,,
sadar1,27,46,19,192,ऐशबाग रोड,ward 022 मोती लाल नेहरू,नगरीय क्षेत्र,21500,23500,26000,28500,31000,33500,65000,51000,40500,,,,,,,
sadar1,27,46,20,214,एन.ई.आर. कालोनी,ward 024 सेवा ग्राम स्टेडियम,नगरीय क्षेत्र,11500,12000,12500,13500,29000,31500,39000,30000,25000,,,,,,,
sadar1,27,46,21,178,कटरा मकबूलगंज,ward 020 गौतम बुद्धनगर,नगरीय क्षेत्र,12500,13500,14000,15500,29500,32000,47000,36000,29000,,,,,,,
sadar1,28,46,22,137,कोरियाना,ward 015 ओमनगर,नगरीय क्षेत्र,10500,11000,11500,13000,29000,31500,47000,36000,29000,,,,,,,
sadar1,28,46,23,232,कासिमपुर पकरी,ward 014 गीतापल्ली,नगरीय क्षेत्र,12500,13500,14000,15500,29500,32000,47000,36000,29000,,,,,,,
sadar1,28,46,24,179,कसाईबाडा,ward 020 गौतम बुद्धनगर,नगरीय क्षेत्र,20000,22000,22500,25000,30500,33000,50000,39000,31000,,,,,,,
sadar1,28,47,25,212,कसाई बाडा,ward 024 सेवा ग्राम स्टेडियम,नगरीय क्षेत्र,12500,13500,14000,15500,29500,32000,46000,35500,29000,,,,,,,
sadar1,28,47,26,83,कबीर मार्ग,ward 008 मुरली नगर,नगरीय क्षेत्र,15500,16500,17000,19000,30500,33000,50000,39000,31000,,,,,,,
sadar1,28,47,27,81,कैन्ट रोड़,ward 008 मुरली नगर,नगरीय क्षेत्र,20000,21000,22000,24500,30500,33000,50000,39000,31000,,,,,,,
sadar1,28,47,28,86,क्ले स्क्वायर,ward 008 मुरली नगर,नगरीय क्षेत्र,16000,17000,17500,19000,31000,33500,50000,39000,31000,,,,,,,
sadar1,28,47,29,219,कैण्ट,ward 025 कैन्ट क्षेत्र,नगरीय क्षेत्र,16000,17000,18000,19500,30500,33000,67000,51500,42000,,,,,,,
sadar1,28,47,30,78,कैलाश तिवारी मार्ग,ward 006 बिक्रमादित्य,नगरीय क्षेत्र,25500,28000,29000,31500,31000,33500,64000,50000,40000,,,,,,,
sadar1,28,47,31,132,कैलाश पुरी,ward 014 गीतापल्ली,नगरीय क्षेत्र,10500,11000,11500,13000,29000,31500,46000,35500,29000,,,,,,,
sadar1,28,47,32,163,कैनाल कालोनी,ward 018 बाबू बनारसी दास,नगरीय क्षेत्र,17500,18500,19000,21000,30500,33000,41000,33000,25500,,,,,,,
sadar1,28,47,33,230,कृष्णा पल्ली,ward 014 गीतापल्ली,नगरीय क्षेत्र,10500,11000,11500,13000,29000,31500,46000,35500,29000,,,,,,,
sadar1,28,47,34,217,कुरिया मवैईया,ward 024 सेवा ग्राम स्टेडियम,नगरीय क्षेत्र,12500,13500,14000,15500,29500,32000,46000,35500,29000,,,,,,,
sadar1,29,48,35,187,कुर्मी टोला हुसैनगंज,ward 021 हुसैनगंज,नगरीय क्षेत्र,12000,13000,13500,14500,29000,31500,46000,35500,29000,,,,,,,
sadar1,29,48,36,164,कान्यकुब्ज कालेज,ward 018 बाबू बनारसी दास,नगरीय क्षेत्र,20000,22000,22500,25000,31000,33500,53000,42000,33000,,,,,,,
sadar1,29,48,37,194,कायमखेड़ा,ward 022 मोती लाल नेहरू,नगरीय क्षेत्र,15500,22500,17000,19000,30000,32500,46000,35500,29000,,,,,,,"9-12m 22500 > 12-18m 17000; verified at 350dpi, clearly printed"
sadar1,29,48,38,143,खन्दारी पुरवा,ward 016 महात्मा गांधी,नगरीय क्षेत्र,12500,13500,14000,15500,29500,32000,49500,38500,31000,,,,,,,
sadar1,29,48,39,131,गीता पल्ली,ward 014 गीतापल्ली,नगरीय क्षेत्र,11000,11500,12000,13000,29000,31500,46000,35500,29000,,,,,,,
sadar1,29,48,40,133,गोपाल पुरी,ward 014 गीतापल्ली,नगरीय क्षेत्र,10500,11000,11500,13000,29000,31500,46000,35500,29000,,,,,,,
sadar1,29,48,41,209,गौतमबुद्ध मार्ग,ward 023 चन्द्र भान गुप्त नगर,नगरीय क्षेत्र,29500,31000,33000,35500,31000,33500,78000,64000,49000,,,,,,,
sadar1,29,48,42,234,गौतम पल्ली,ward 006 बिक्रमादित्य,नगरीय क्षेत्र,33000,34500,35500,39000,31000,33500,66000,51500,41000,,,,,,,
sadar1,29,48,43,180,गौतम बुद्ध मार्ग,ward 020 गौतम बुद्धनगर,नगरीय क्षेत्र,28500,30500,31500,35500,31000,33500,78000,64000,49000,,,,,,,
sadar1,29,48,44,188,गढइया जोरी मेहतर,ward 021 हुसैनगंज,नगरीय क्षेत्र,11500,12000,12500,13500,29000,31500,47000,36000,29000,,,,,,,
sadar1,29,49,45,96,गाजीउद्दीन हैदर कालोनी,ward 009 लालकुआं,नगरीय क्षेत्र,16000,17000,17500,19500,30000,32500,50000,39000,31000,,,,,,,
