sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar5,36,76,1,0001,अशर्फाबाद,ward 070 अशर्फाबाद वार्ड,नगरीय क्षेत्र,11000,12500,13500,14000,31000,33500,40000,31000,24500,,,,,,,
sadar5,36,76,2,0018,अम्बेडकर नगर,ward 071 अम्बेडकर नगर वार्ड,नगरीय क्षेत्र,8500,9500,10500,11000,29000,31500,32500,25500,20000,,,,,,,
sadar5,36,76,3,0035,अशोक बिहार,ward 072 आलमनगर वार्ड,नगरीय क्षेत्र,10500,11500,12500,13000,29000,31500,32500,25500,20000,,,,,,,
sadar5,36,76,4,0045,अग्रवाल क्वार्टर,ward 073 ऐशबाग वार्ड,नगरीय क्षेत्र,10500,11500,12500,13000,29000,31500,32500,25500,20000,,,,,,,
sadar5,36,76,5,0265,अलमाष बाग,ward 074 कन्हैया माधवपुर वार्ड,नगरीय क्षेत्र,13000,14500,15500,16500,31000,33500,40000,31000,24500,,,,,,,
sadar5,36,76,6,0117,अमरुदही बाग,ward 079 चित्रगुप्त नगर वार्ड,नगरीय क्षेत्र,20000,22000,24000,25000,31000,33500,35500,28000,22500,,,,,,,
sadar5,36,76,7,0291,अचार वाली गली,ward 080 जलसंस्थान वार्ड,नगरीय क्षेत्र,8500,9500,10500,11000,29000,31500,32500,25500,20000,,,,,,,
sadar5,37,77,8,0165,अब्दुल अज़ीज रोड मोहल्ला,ward 083 मौलाना कल्बे आबिद वार्ड,नगरीय क्षेत्र,16500,18500,20000,21000,29000,31500,35500,28000,22500,,,,,,,
sadar5,37,77,9,0166,अहोरी टोला,ward 083 मौलाना कल्बे आबिद वार्ड,नगरीय क्षेत्र,8500,9500,10500,11000,29000,31500,32500,25500,20000,,,,,,,
sadar5,37,77,10,0242,असियामऊ,ward 089 हैदरगंज वार्ड,नगरीय क्षेत्र,6000,6500,7500,8000,29000,31500,28000,23500,18000,,,,,,,
sadar5,37,77,11,0019,आरती नगर,ward 071 अम्बेडकर नगर वार्ड,नगरीय क्षेत्र,8500,9500,10500,11000,29000,31500,32500,25500,20000,,,,,,,
sadar5,37,77,12,0034,आलम नगर,ward 072 आलमनगर वार्ड,नगरीय क्षेत्र,10500,11500,12500,13000,29000,31500,32500,25500,20000,,,,,,,
sadar5,37,77,13,0036,आलमबाग रोड का दक्षिणी भाग,ward 072 आलमनगर वार्ड,नगरीय क्षेत्र,10500,11500,12500,13000,29000,31500,32500,25500,20000,,,,,,,
sadar5,37,77,14,0065,आर.डी.एस.ओ.कालोनी जगजीवन ट्रेनिंग सेन्टर,ward 075 केसरी खेड़ा वार्ड,नगरीय क्षेत्र,7000,7500,8500,9000,29000,31500,28000,23500,18000,,,,,,,
sadar5,37,77,15,0093,आलम नगर थड़ी,ward 077 कुवर ज्योति प्रसाद वार्ड,नगरीय क्षेत्र,10500,11500,12500,13000,29000,31500,27000,22500,17000,,,,,,,
sadar5,37,77,16,0098,आजाद नगर,ward 078 गढ़ीपीर खां वार्ड,नगरीय क्षेत्र,13000,14500,15500,16500,29000,31500,35500,28000,22500,,,,,,,
sadar5,37,78,17,0118,आशुतोष नगर,ward 079 चित्रगुप्त नगर वार्ड,नगरीय क्षेत्र,19000,21000,23000,24000,29000,31500,35500,28000,22500,,,,,,,
sadar5,37,78,18,0139,आई. टी. कालोनी,ward 080 जलसंस्थान वार्ड,नगरीय क्षेत्र,10500,11500,12500,13000,29000,31500,32500,25500,20000,,,,,,,
