sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar2,44,124,34,0292,क्वीन्टन रोड,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,59500,47500,36000,,,,,,,
sadar2,44,124,35,1090,खरगापुर,ward 111 लखनऊ,नगरीय क्षेत्र,10000,11000,11500,12000,25000,27500,34000,27500,22000,,400,355,,400,285,
sadar2,44,125,36,0275,ख्यालीगंज,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,19500,22000,22000,24000,30000,32500,70500,55000,44000,,,,,,,
sadar2,44,125,37,0243,गंगा नगर,ward 028 चिनहट,नगरीय क्षेत्र,10000,11000,11000,12500,30000,32500,41500,36000,32000,,,,,,,
sadar2,44,125,38,0400,गौतम बुद्व मार्ग,ward 043 गणेशगंज,नगरीय क्षेत्र,37000,40000,41000,46000,30000,32500,104500,85000,66000,,,,,,,"p4: same name printed for 0400, 0276, 0398"
sadar2,44,125,39,0276,गौतम बुद्व मार्ग,ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,37000,40000,41000,46000,30000,32500,104500,85000,66000,,,,,,,"p4: same name printed for 0400, 0276, 0398"
sadar2,44,125,40,0258,गोखले मार्ग,ward 029 राजा राम मोहन राय,नगरीय क्षेत्र,30000,33000,34000,36000,30000,32500,77000,61500,47500,,,,,,,
sadar2,45,126,41,0303,गोडियनपुरवा,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,41500,36000,32000,,,,,,,
sadar2,45,126,42,0408,गणेशगंज ग्रेन मार्केट,ward 043 गणेशगंज,नगरीय क्षेत्र,25000,27500,28000,31000,30000,32500,70500,55000,44000,,,,,,,
sadar2,45,126,43,1084,गनेशपुर रहमानपुर,ward 111 लखनऊ,नगरीय क्षेत्र,9000,10000,11000,12000,25000,27500,35000,30500,28500,,221,198,,221,158,
sadar2,45,126,44,1129,गणेशपुर रहमानपुर (रघुनन्दन आशियाना),ward 111 लखनऊ,नगरीय क्षेत्र,15000,15000,16000,17000,25000,27500,53000,41500,33000,,,,,,,p4: name cut off in print
sadar2,45,126,45,1202,गनेशपुर रहमानपुर (दयाल रेजीडेन्सी),ward 111 लखनऊ,नगरीय क्षेत्र,15000,15000,16000,17000,25000,27500,53000,41500,33000,,,,,,,p4: name cut off in print
sadar2,46,127,46,0315,गोमतीनगर फेज 3,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,33000,36000,38000,41000,31500,34000,55000,46000,39500,,,,,,,
sadar2,46,127,47,0419,गोमती नगर विस्तार/गोमती ग्रीन्स,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,33000,36000,38000,41500,31500,34000,55000,46000,39500,,,,,,,p4: name may be cut off in print
sadar2,46,127,48,0293,गोपीनाथ श्रीवास्तव रोड,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,20000,21000,22000,24000,30000,32500,59500,47000,36000,,,,,,,
sadar2,47,127,49,1049,गोपरामऊ,ward 111 लखनऊ,अर्द्धनगरीय,3000,3500,4000,4500,22000,24000,23000,22000,20500,,88,80,,88,66,
sadar2,47,127,50,0398,गौतम बुद्व मार्ग,ward 041 बशीरतगंज,नगरीय क्षेत्र,37000,40000,41000,43000,30000,32500,104500,85000,66000,,,,,,,"p4: same name printed for 0400, 0276, 0398"
sadar2,47,128,51,0402,गुरू द्वारा रोड,ward 043 गणेशगंज,नगरीय क्षेत्र,25000,27000,28000,30000,30000,32500,70500,55000,44000,,,,,,,
sadar2,47,128,52,0360,गूँगे नवाब पार्क,ward 036 अमीनाबाद,नगरीय क्षेत्र,33000,36000,38000,41000,30000,32500,61500,49500,39500,,,,,,,
sadar2,47,128,53,0227,गुलाम हुसैन पुरवा,ward 027 राजीव गांधी,नगरीय क्षेत्र,9000,9300,10000,11000,30000,32500,38500,35000,33000,,,,,,,
sadar2,47,128,54,0352,गन्ने वाली गली,ward 036 अमीनाबाद,नगरीय क्षेत्र,25000,27000,28000,31000,30000,32500,85000,66000,53000,,,,,,,
sadar2,47,128,55,0351,गडबडझाला,ward 036 अमीनाबाद,नगरीय क्षेत्र,33000,36000,38000,41000,30000,32500,87000,69500,55000,,,,,,,
sadar2,48,129,56,0304,ग्वारी का पुरवा,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,41500,36000,32000,,,,,,,
sadar2,48,129,57,0294,घसियारी मण्डी,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,48500,38500,33000,,,,,,,
