sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sarojininagar,37,57,42,,डिफेन्स कॉलोनी,001 इब्राहिमपुर,,6000,7000,7500,8000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,37,57,43,,तेलीबाग,002 खरिका,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,37,57,44,,तोदेखेड़ा,003 राजा बिजली पासी,,6000,6500,7500,8000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,37,57,45,,देवामऊ,101 बिजनौर,,7000,7500,8500,9500,24000,26000,40000,35000,30000,,105,95,,105,75,
sarojininagar,38,57,46,,देवीखेड़ा,005 शारदा नगर,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,38,57,47,,द्वारिकापुरी,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,38,57,48,,धावापुर,101 बिजनौर,,2500,3000,3500,4000,20000,22000,35000,30000,25000,,50,45,,50,35,
sarojininagar,38,58,49,,निजामपुर मझगवॉ,101 बिजनौर,,7000,7500,8500,9500,24000,26000,40000,35000,30000,,105,95,,105,75,
sarojininagar,38,58,50,,नेपाल गंज,002 खरिका,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,38,58,51,,नटखेड़ा,002 खरिका,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,38,58,52,,नई बस्ती,001 इब्राहिमपुर,,5500,6000,7000,7500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,38,58,53,,नूरनगर भदरसा,101 बिजनौर,,6000,7000,8000,9000,24000,26000,35000,30000,27000,,155,145,,155,110,
sarojininagar,38,58,54,,नीवां,101 बिजनौर,,2500,3000,3500,4000,20000,22000,30000,25000,23000,,50,45,,50,35,
sarojininagar,39,58,55,,परवर पूरब,101 बिजनौर,,3500,4000,4500,5000,22000,24000,35000,30000,27000,,85,80,,85,60,
sarojininagar,39,58,56,,परवर पश्चिम,101 बिजनौर,,3500,4000,4500,5000,22000,24000,35000,30000,27000,,85,80,,85,60,
sarojininagar,39,58,57,,पाठक पुरम,001 इब्राहिमपुर,,9000,10000,11000,12000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,39,58,58,,पिपरौली,005 शारदा नगर,,10000,11000,12000,13000,26000,28000,40000,350000,30000,,,,,,,office printed 350000 (likely typo for 35000) - kept as printed
sarojininagar,39,58,59,,फैन्डस कालोनी,101 इब्राहिमपुर,,15000,17000,19000,21000,24000,26000,40000,35000,30000,,,,,,,pargana code 101/name mismatch as printed
sarojininagar,39,58,60,,फिरंगी खेड़ा,005 शारदा नगर,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,105,95,,105,75,
sarojininagar,39,59,61,,फर्रूखाबाद चिल्लावां,010 राजा बिजली पासी,,10000,11000,12000,13000,26000,28000,40000,35000,30000,,370,330,,370,265,
sarojininagar,39,59,62,,बेहसा,003 राजा बिजली पासी,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,440,394,,440,315,
sarojininagar,39,59,63,,बरौली खलीलाबाद,101 इब्राहिमपुर,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,485,450,,485,348,pargana code 101/name mismatch as printed
sarojininagar,40,59,64,,बरौना,101 बिजनौर,,7000,7500,8500,9500,24000,26000,40000,35000,30000,,105,95,,105,75,
sarojininagar,40,59,65,,बलदेव बिहार,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,40,59,66,,बंगाली टोला,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,40,59,67,,ब्रज बिहार,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,40,59,68,,ब्राहम्ण टोला,002 खरिका,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,40,59,69,,बंगला बाजार,003 राजा बिजली पासी,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,40,59,70,,बाबा की बगिया,002 खरिका,,8000,9000,10000,11000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,40,59,71,,बंगला बाजार,005 शारदा नगर,,12000,13000,14000,15000,26000,28000,40000,35000,30000,,,,,,,
sarojininagar,40,59,72,,बिजनौर,101 बिजनौर,,8000,9000,10000,11000,24000,26000,40000,35000,30000,,180,170,,180,130,
