sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar3,41,75,1,167,अस्तबल चारबाग (मशकगंज),62 मशकगंज वार्ड,नगरीय क्षेत्र,10500,11500,13000,13500,29000,32000,48000,42000,36000,,,,,,,
sadar3,41,75,2,106,अस्तबल यहियागंज,55 राजाबाजार वार्ड,नगरीय क्षेत्र,10500,11500,13000,13500,30000,32500,50500,43500,37500,,,,,,,
sadar3,41,75,3,107,अहाता खान शामा,55 राजाबाजार वार्ड,नगरीय क्षेत्र,10500,11500,13000,13500,30000,32500,50500,43500,37500,,,,,,,
sadar3,41,75,4,61,अमराई गांव,52 शहीद भगत सिंह वार्ड,नगरीय क्षेत्र,10500,11500,13000,13500,29000,32000,50500,43500,37500,,450,410,,450,320,
sadar3,41,75,5,137,आदिलनगर,57 शंकरपुरवा,नगरीय क्षेत्र,18000,20000,22000,23000,30000,32500,48000,42000,36000,,,,,,,
sadar3,41,75,6,118,अम्बाही का पुरवा,56 महानगर,नगरीय क्षेत्र,18000,20000,22000,23000,30000,32500,50500,43500,37500,,,,,,,
sadar3,41,76,7,125,अतरौली,57 शंकरपुरवा,नगरीय क्षेत्र,13500,14500,16000,17000,29000,32000,50500,43500,37500,,530,480,,530,380,
sadar3,42,76,8,39,इस्माईलगंज,48 इस्माईलगंज वार्ड,नगरीय क्षेत्र,18000,20000,22000,23000,30000,32500,58000,48000,36000,,,,,,,
sadar3,42,76,9,220,ईश्वरपुरी कालोनी,48 इस्माईलगंज वार्ड,नगरीय क्षेत्र,35000,38500,42000,44500,30000,32500,86500,70000,54000,,,,,,,
sadar3,42,76,10,36,इन्दिरा नगर सेक्टर 1 (डी ब्लाक),47 इन्दिरा नगर वार्ड,नगरीय क्षेत्र,35000,38500,42000,44500,32000,34000,86500,70000,54000,,,,,,,
sadar3,42,76,11,49,इन्दिरा नगर सेक्टर-2 (सी-ब्लाक),50 मौथलीशरण गुप्त वार्ड,नगरीय क्षेत्र,35000,38500,42000,44500,32000,34000,86500,70000,54000,,,,,,,
sadar3,42,76,12,48,इन्दिरा नगर से.-3 (बी ब्लाक),50 मौथलीशरण गुप्त वार्ड,नगरीय क्षेत्र,35000,38500,42000,44500,32000,34000,86500,70000,54000,,,,,,,
sadar3,42,76,13,54,इन्दिरा नगर से.-4(ए ब्लाक),51 लालबहादुर शास्त्री वार्ड,नगरीय क्षेत्र,35000,38500,42000,44500,32000,34000,86500,70000,54000,,,,,,,
sadar3,42,76,14,229,इन्दिरा नगर से.-5 (बी ब्लाक),50 मौथलीशरण गुप्त वार्ड,नगरीय क्षेत्र,35000,38500,42000,44500,32000,34000,86500,70000,54000,,,,,,,
sadar3,42,76,15,230,इन्दिरा नगर सेक्टर-6 (सी-ब्लाक),50 मौथलीशरण गुप्त वार्ड,नगरीय क्षेत्र,35000,38500,42000,44500,32000,34000,86500,70000,54000,,,,,,,
