sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
bikapur,40,15–राष्ट्रीय राजमार्ग पर तमसा नदी से राजस्व ग्राम चांदपुर की आखिरी सीमा तक।,जलालपुरमाफी,1104,25000,58000,54000,49000,
bikapur,40,15–राष्ट्रीय राजमार्ग पर तमसा नदी से राजस्व ग्राम चांदपुर की आखिरी सीमा तक।,रहेठ,1283,25000,58000,54000,49000,
bikapur,40,15–राष्ट्रीय राजमार्ग पर तमसा नदी से राजस्व ग्राम चांदपुर की आखिरी सीमा तक।,पातूपुर,1179,25000,58000,54000,49000,
bikapur,40,15–राष्ट्रीय राजमार्ग पर तमसा नदी से राजस्व ग्राम चांदपुर की आखिरी सीमा तक।,चाँदपुर,1097,25000,58000,54000,49000,
bikapur,40,16–राष्ट्रीय राजमार्ग से कुचेरामार्ग पर राष्ट्रीय राजमार्ग से राजस्व ग्राम जलालपुरमाफी की सीमा तक।,जलालपुरमाफी,1104,20000,50000,45000,40000,
bikapur,40,17–जलालपुरमाफी मिझौडामार्ग पर सहकारी समिति मीतनपुर से उर्मिला महाविद्यालय गेट तक।,मीतनपुर,1264,22000,55000,50000,45000,
bikapur,40,17–जलालपुरमाफी मिझौडामार्ग पर सहकारी समिति मीतनपुर से उर्मिला महाविद्यालय गेट तक।,रामपुरभगन,1290,22000,55000,50000,45000,
bikapur,40,17–जलालपुरमाफी मिझौडामार्ग पर सहकारी समिति मीतनपुर से उर्मिला महाविद्यालय गेट तक।,ऊचगांव,1019,22000,55000,50000,45000,
bikapur,40,18–जलालपुरमाफी मिझौडा मार्ग से दर्शननगर मार्ग पर प्रारम्भ से सेवा नर्सिगहोम तक।,रामपुरभगन,1290,20000,50000,45000,40000,
bikapur,40,18–जलालपुरमाफी मिझौडा मार्ग से दर्शननगर मार्ग पर प्रारम्भ से सेवा नर्सिगहोम तक।,भीखीपुरझलिहा,1241,20000,50000,45000,40000,
bikapur,40,19–जलालपुरमाफी मिझौडामार्ग से (कृषक मोड प्रारम्भ) से कृषक विद्यालय तक।,रामपुरभगन,1290,20000,50000,45000,40000,
bikapur,40,20–जलालपुरमाफी मिझौडामार्ग पर मधुबाला बालिका इंटर कालेज गेट से गदुरहवा मोड (शमशाद के मकान के सामने) तक।,पारागरीबशाह,1177,22000,55000,50000,45000,
bikapur,40,20–जलालपुरमाफी मिझौडामार्ग पर मधुबाला बालिका इंटर कालेज गेट से गदुरहवा मोड (शमशाद के मकान के सामने) तक।,तारून,1117,22000,55000,50000,45000,
bikapur,40,20–जलालपुरमाफी मिझौडामार्ग पर मधुबाला बालिका इंटर कालेज गेट से गदुरहवा मोड (शमशाद के मकान के सामने) तक।,सरायशेखमहमूद,1315,22000,55000,50000,45000,
bikapur,40,20–जलालपुरमाफी मिझौडामार्ग पर मधुबाला बालिका इंटर कालेज गेट से गदुरहवा मोड (शमशाद के मकान के सामने) तक।,बेलगरा,1226,22000,55000,50000,45000,
bikapur,40,21–जलालपुरमाफी मिझौडामार्ग से (तारून चौराहा से) सामुदायिक स्वास्थ केन्द्र मार्ग पर अमित मेमोरियल डायग्नोस्टिक सेन्टर के आगे छठ्ठीदीन के मकान (जय शिक्षक टेन्ट हाउस के सामने) तक।,तारून,1117,17000,45000,40000,35000,
bikapur,41,22–जलालपुरमाफी मिझौडामार्ग से (तारून चौराहा) से गोसाईगंजमार्ग पर राजस्वग्राम तारून की सीमा तक।,तारून,1117,20000,50000,45000,40000,
bikapur,41,23–जलालपुरमाफी मिझौडामार्ग से हैदरगंजमार्ग पर मोड प्रारम्भ से चक्रवर्ती नेत्र चिकित्सालय तक।,तारून,1117,22000,55000,50000,45000,
bikapur,41,23–जलालपुरमाफी मिझौडामार्ग से हैदरगंजमार्ग पर मोड प्रारम्भ से चक्रवर्ती नेत्र चिकित्सालय तक।,सरायशेख महमूद,1315,22000,55000,50000,45000,
bikapur,41,24–जलालपुरमाफी से मिझौडामार्ग पर मॉ कामख्या फिलिंग स्टेशन से कसौधन जलपान (रामकेवल के मकान) तक।,फतेहपुरकमासिन,1197,25000,58000,54000,49000,
bikapur,41,24–जलालपुरमाफी से मिझौडामार्ग पर मॉ कामख्या फिलिंग स्टेशन से कसौधन जलपान (रामकेवल के मकान) तक।,मुगीसपुर,1265,25000,58000,54000,49000,
bikapur,41,24–जलालपुरमाफी से मिझौडामार्ग पर मॉ कामख्या फिलिंग स्टेशन से कसौधन जलपान (रामकेवल के मकान) तक।,हुसैनपुर,1349,25000,58000,54000,49000,
bikapur,41,25–जलालपुरमाफी मिझौडामार्ग से जाना बाजार मार्ग पर दुर्गा मन्दिर चौराहा से रामजतन वर्मा के मकान तक।,मुगीसपुर,1265,20000,50000,45000,40000,
bikapur,41,26–दर्शननगर फुलौना मार्ग पर हैदरगंज मोड से मेन बाजार होते हुए कूरेभार भीटी मार्ग तक।,पूरबपटटी,1189,22000,55000,50000,45000,
bikapur,41,26–दर्शननगर फुलौना मार्ग पर हैदरगंज मोड से मेन बाजार होते हुए कूरेभार भीटी मार्ग तक।,हैदरगंज,1350,22000,55000,50000,45000,
bikapur,41,27–कूरेभार से भीटी मार्ग पर सियाराम के पेट्रोल पम्प से गन्ना क्रय केन्द्र तक।,पूरबपटटी,1189,22000,55000,50000,45000,
bikapur,41,27–कूरेभार से भीटी मार्ग पर सियाराम के पेट्रोल पम्प से गन्ना क्रय केन्द्र तक।,हैदरगंज,1350,22000,55000,50000,45000,
bikapur,41,27–कूरेभार से भीटी मार्ग पर सियाराम के पेट्रोल पम्प से गन्ना क्रय केन्द्र तक।,रसुलहा,1284,22000,55000,50000,45000,
bikapur,41,27–कूरेभार से भीटी मार्ग पर सियाराम के पेट्रोल पम्प से गन्ना क्रय केन्द्र तक।,सरायमनोधर,1306,22000,55000,50000,45000,
bikapur,42,28–दहेमा रोड पर प्रारम्भ से (हैदरगंज हनुमान गढी से) गंगाप्रसाद तिवारी के मकान तक।,हैदरगंज,1350,20000,50000,45000,40000,
bikapur,42,28–दहेमा रोड पर प्रारम्भ से (हैदरगंज हनुमान गढी से) गंगाप्रसाद तिवारी के मकान तक।,बलरामपुर,1205,20000,50000,45000,40000,
bikapur,42,29–दर्शननगर फुलौना मार्ग पर मेन बाजार तिराहे से धोबना चौराहा होते हुये रामऔतार के मकान तक।,पुरबपट्टी,1189,20000,50000,45000,40000,
bikapur,42,30–चौरेबाजार से हैदरगंज मार्ग पर शाह मोहम्मद के मकान से मेन बाजार तिराहे तक।,पूरबपट्टी,1189,20000,50000,45000,40000,
bikapur,42,30–चौरेबाजार से हैदरगंज मार्ग पर शाह मोहम्मद के मकान से मेन बाजार तिराहे तक।,मनऊपुर,1249,20000,50000,45000,40000,
bikapur,42,31–अयोध्या से प्रयागराज राष्ट्रीय राजमार्ग पर प्राथमिक विद्यालय (स्वास्थ केन्द के सामने) से जमोली मोड़ तक।,भरहूखाता,1237,25000,58000,54000,49000,
bikapur,42,31–अयोध्या से प्रयागराज राष्ट्रीय राजमार्ग पर प्राथमिक विद्यालय (स्वास्थ केन्द के सामने) से जमोली मोड़ तक।,चौरेचन्दौली,1096,25000,58000,54000,49000,
bikapur,42,32–राष्ट्रीय राज्यमार्ग पर श्री राकेश कुमार गुप्ता के मकान से रामनगर चौराहे तक।,खजुरहट,1058,25000,58000,54000,49000,
bikapur,42,32–राष्ट्रीय राज्यमार्ग पर श्री राकेश कुमार गुप्ता के मकान से रामनगर चौराहे तक।,रामनगर,1286,25000,58000,54000,49000,
bikapur,42,33–खजुरहट मिल्कीपुर मार्ग पर खजुरहट चौराहे से असरेवा मोड तक।,खजुरहट,1058,22000,55000,50000,45000,
bikapur,42,33–खजुरहट मिल्कीपुर मार्ग पर खजुरहट चौराहे से असरेवा मोड तक।,मजरूददीनपुर,1255,22000,55000,50000,45000,
bikapur,42,34–खजुरहट मिल्कीपुर मार्ग पर सम्राट टेन्ट हाउस (सम्राट हार्डवेयर) से धमसा मोड़ तक।,कोछा,1052,22000,55000,50000,45000,
bikapur,42,34–खजुरहट मिल्कीपुर मार्ग पर सम्राट टेन्ट हाउस (सम्राट हार्डवेयर) से धमसा मोड़ तक।,सोनबरसामुसलमीन,1331,22000,55000,50000,45000,
bikapur,42,34–खजुरहट मिल्कीपुर मार्ग पर सम्राट टेन्ट हाउस (सम्राट हार्डवेयर) से धमसा मोड़ तक।,कोडरा ब्रम्हनान,1054,22000,55000,50000,45000,
bikapur,42,35–प्रभात नगर इसौलीमार्ग पर रामफेर के मकान (तुलसी राम के मकान के सामने) शाहगंज चौराहा होते हुये गौसिया मस्जिद तक।,मुकीमपुरऊर्फपहाडपुर,1266,22000,55000,50000,45000,
bikapur,42,36–जलालपुरमाफी मार्ग से कुचेरा मार्ग पर विजय कुमार मिश्रा (आकाश इंटर प्राईजेज) के मकान से शाहगंज चौराहा होते हुये मेहदौनां मोड़ तक।,मुकीमपुरऊर्फपहाडपुर,1266,22000,55000,50000,45000,
bikapur,43,37–बीकापुर जानामार्ग पर भवानी थाना मोड से रामपुरभगन मोड तक।,तोरोमाफी,1123,22000,55000,50000,45000,
bikapur,43,38–दर्शननगर से फुलौनामार्ग पर श्री राजेन्द्र विश्वकर्मा के मकान से श्री दशरथदीन के मकान/दुकान तक।,जाना,1106,22000,55000,50000,45000,
bikapur,43,38–दर्शननगर से फुलौनामार्ग पर श्री राजेन्द्र विश्वकर्मा के मकान से श्री दशरथदीन के मकान/दुकान तक।,पछियाना,1163,22000,55000,50000,45000,
