sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
sadar,69,13. दर्शन नगर चौराहे से रायगंज-तुलसी स्मारक भवन-रानी बाजार- अयोध्या कोतवाली,काजीपुर चितांवा,,14700,52200,48400,44400,
sadar,69,13. दर्शन नगर चौराहे से रायगंज-तुलसी स्मारक भवन-रानी बाजार- अयोध्या कोतवाली,रायगंज,,14700,52200,48400,44400,
sadar,69,13. दर्शन नगर चौराहे से रायगंज-तुलसी स्मारक भवन-रानी बाजार- अयोध्या कोतवाली,तकपुरा,,14700,52200,48400,44400,
sadar,69,13. दर्शन नगर चौराहे से रायगंज-तुलसी स्मारक भवन-रानी बाजार- अयोध्या कोतवाली,कुढ़ा केशवपुर,,14700,52200,48400,44400,
sadar,70,14. चौक से रीडगंज चौराहा होते हुये अकबरपुर रोड देवकाली बाई पास तक व फतेहगंज से देवकाली रोड,चौक,,40000,86800,83000,79000,
sadar,70,14. चौक से रीडगंज चौराहा होते हुये अकबरपुर रोड देवकाली बाई पास तक व फतेहगंज से देवकाली रोड,जमुनियाबाग,,39200,85800,82000,78000,
sadar,70,14. चौक से रीडगंज चौराहा होते हुये अकबरपुर रोड देवकाली बाई पास तक व फतेहगंज से देवकाली रोड,रीडगंज,,38500,84700,80900,76900,
sadar,70,14. चौक से रीडगंज चौराहा होते हुये अकबरपुर रोड देवकाली बाई पास तक व फतेहगंज से देवकाली रोड,रमना,,30800,74200,70400,66400,
sadar,70,14. चौक से रीडगंज चौराहा होते हुये अकबरपुर रोड देवकाली बाई पास तक व फतेहगंज से देवकाली रोड,बछड़ा सुल्तानपुर,,30800,74200,70400,66400,
sadar,70,14. चौक से रीडगंज चौराहा होते हुये अकबरपुर रोड देवकाली बाई पास तक व फतेहगंज से देवकाली रोड,देवकाली,,30800,74200,70400,66400,
sadar,70,14. चौक से रीडगंज चौराहा होते हुये अकबरपुर रोड देवकाली बाई पास तक व फतेहगंज से देवकाली रोड,वजीरगंज,,30800,74200,70400,66400,
sadar,70,15. रिकाबगंज चौराहे से नियांवा होते हुए आई हास्पिटल तक,रिकाबगंज,,40000,86800,83000,79000,
sadar,70,15. रिकाबगंज चौराहे से नियांवा होते हुए आई हास्पिटल तक,कन्धारीबाजार,,33200,77400,73600,69600,
sadar,70,15. रिकाबगंज चौराहे से नियांवा होते हुए आई हास्पिटल तक,नियावां,,33200,77400,73600,69600,
sadar,70,15. रिकाबगंज चौराहे से नियांवा होते हुए आई हास्पिटल तक,चक गौरापट्टी,,30800,74200,70400,66400,
sadar,70,15. रिकाबगंज चौराहे से नियांवा होते हुए आई हास्पिटल तक,नहरबाग,,33200,77400,73600,69600,
sadar,70,15. रिकाबगंज चौराहे से नियांवा होते हुए आई हास्पिटल तक,अंगूरीबाग,,33200,77400,73600,69600,
sadar,70,15. रिकाबगंज चौराहे से नियांवा होते हुए आई हास्पिटल तक,ख्वासपुरा,,37000,82600,78800,74800,
sadar,71,16. रिकाबगंज चौराहा से कसाब बाडा रोड,रिकाबगंज,,40000,86800,83000,79000,
sadar,71,16. रिकाबगंज चौराहा से कसाब बाडा रोड,बल्लाहाता,,33200,77400,73600,69600,
sadar,71,16. रिकाबगंज चौराहा से कसाब बाडा रोड,महाजनीटोला,,33200,77400,73600,69600,
sadar,71,16. रिकाबगंज चौराहा से कसाब बाडा रोड,खिड़की अलीबेग,,33200,77400,73600,69600,
sadar,71,16. रिकाबगंज चौराहा से कसाब बाडा रोड,कसाबबाड़ा,,33200,77400,73600,69600,
sadar,71,17. हसनूकटरा से दिल्ली दरवाजा रोड,नयापुरवा,,18200,57000,53200,49200,
sadar,71,17. हसनूकटरा से दिल्ली दरवाजा रोड,छावनी बन्देअली,,18200,57000,53200,49200,
sadar,71,17. हसनूकटरा से दिल्ली दरवाजा रोड,हसनूकटरा,,18200,57000,53200,49200,
sadar,71,17. हसनूकटरा से दिल्ली दरवाजा रोड,बाजार मिर्जाअली,,18200,57000,53200,49200,
sadar,71,18. जमथरा ककरही बाजार रोड,रेतिया,,12700,49600,45800,41800,
sadar,71,18. जमथरा ककरही बाजार रोड,तारापुर रजौली,,12700,49600,45800,41800,
sadar,71,19. एस. एस. पी. आफिस से तहसील रोड,सिविल लाइन,,37000,82600,78800,74800,
sadar,71,20. रिकाबगंज हनुमानगढ़ी से स्टेट बैंक होते हुये स्टेशन तक,सिविल लाइन,,37000,82600,78800,74800,
sadar,71,21. मया-टाण्डा रोड नहर के पुल तक,रामपुर मया,,10900,47100,43300,39300,
sadar,72,22. गोशाईगंज से अकबरपुर मार्ग (अ0टा0ए0),कटरा गोशाईगंज,,16500,54700,50900,46900,
sadar,72,22. गोशाईगंज से अकबरपुर मार्ग (अ0टा0ए0),रामनगर मिश्रौली,,16500,54700,50900,46900,
